sample,fastq_1,fastq_2,strandedness
mysample1_10,input1_10_R1.fq.gz,,forward
mysample1_11,input1_11_R1.fq.gz,,forward
mysample1_12,input1_12_R1.fq.gz,,forward
mysample1_13,input1_13_R1.fq.gz,,forward
mysample1_14,input1_14_R1.fq.gz,,forward
mysample1_15,input1_15_R1.fq.gz,,forward
mysample1_1,input1_1_R1.fq.gz,,forward
mysample1_2,input1_2_R1.fq.gz,,forward
mysample1_3,input1_3_R1.fq.gz,,forward
mysample1_4,input1_4_R1.fq.gz,,forward
mysample1_5,input1_5_R1.fq.gz,,forward
mysample1_6,input1_6_R1.fq.gz,,forward
mysample1_7,input1_7_R1.fq.gz,,forward
mysample1_8,input1_8_R1.fq.gz,,forward
mysample1_9,input1_9_R1.fq.gz,,forward
mysample2_10,input2_10_R1.fq.gz,,forward
mysample2_11,input2_11_R1.fq.gz,,forward
mysample2_12,input2_12_R1.fq.gz,,forward
mysample2_13,input2_13_R1.fq.gz,,forward
mysample2_14,input2_14_R1.fq.gz,,forward
mysample2_15,input2_15_R1.fq.gz,,forward
mysample2_1,input2_1_R1.fq.gz,,forward
mysample2_2,input2_2_R1.fq.gz,,forward
mysample2_3,input2_3_R1.fq.gz,,forward
mysample2_4,input2_4_R1.fq.gz,,forward
mysample2_5,input2_5_R1.fq.gz,,forward
mysample2_6,input2_6_R1.fq.gz,,forward
mysample2_7,input2_7_R1.fq.gz,,forward
mysample2_8,input2_8_R1.fq.gz,,forward
mysample2_9,input2_9_R1.fq.gz,,forward
